char	chai	code	pinyin	zijiset	encode
冽	冫歹刂	QuLwFj	liè	GB0	qlfj
净	冫⺈	QuHjZk	jìng_chēng	GB0	qhzk
凄	冫一女	QuYaZkWu	qī	GB0	qyzw
准	冫隹	QuOd	zhǔn	GB0	qodu
凇	冫木八厶	QuIeIsQj	sōng	GB0	qiiq
凉	冫小	QuIhDu	liáng_liàng	GB0	qidu
凋	冫⺆土口	QuKrGmBl	diāo	GB0	qkgb
凌	冫土八夊	QuGmIsKe	líng_lìng	GB0	qgik
减	冫戊一口	QuVwYaBl	jiǎn	GB0	qvyb
凑	冫㇏一大	QuFdHcYaVu	còu	GB0	qfhv
凛	冫亠囗口示	QuFcXvBlLd	lǐn	GB0	qfxl
凝	冫匕矢龴疋	QuSkNvQjKq	níng	GB0	qsnk
几	几	Id	jǐ_jī	GB0	idd
凡	几丶	IdHc	fán	GB0	ihcd
凤	几又	IdBj	fèng	GB0	ibjd
凫	鸟几	AlId	fú	GB0	aidl
凭	亻㇒士几	TnJtGhId	píng	GB0	tjgi
凯	山己几	WrUdId	kǎi	GB0	wuid
凰	几白王	IdTkAh	huáng	GB0	itah
凳	癶豆几	IsHwId	dèng	GB0	ihid
凵	凵	Kr	qiǎn_kǎn	GB0	krrr
凶	㐅凵	OqKr	xiōng	GB0	okrq
凸	一	CiYa	tū	GB0	cyai
凹	一	KrYa	āo_wā	GB0	kyar
出	屮凵	AmKr	chū	GB0	akrm
击	凵	EnKr	jī	GB0	ekrn
凼	水凵	YqKr	dàng	GB0	ykrq
函	乛氺凵	LfYqKr	hán	GB0	lykr
凿	业凵	EoMkKr	záo_zuò	GB0	emkr
刀	刀	Fj	dāo_diāo	GB0	fjj
刁	㇆㇀	LfJt	diāo	GB0	ljtf
刂	刂	Fj	dāo	GB0	fjjj
刃	刀丶	FjHc	rèn	GB0	fhcj
分	八刀	IsFj	fēn_fèn_fén	GB0	ifjs
切	七刀	MdFj	qiè_qiē_qì	GB0	mfjd
刈	乂刂	OqFj	yì	GB0	ofjq
刊	干刂	DkFj	kān	GB0	dfjk
刍	⺈彐	HjRk	chú	GB0	hrkj
刎	勹刂	JwWyFj	wěn	GB0	jwfj
刑	一廾刂	YaDyFj	xíng	GB0	ydfj
划	戈刂	CuFj	huà_huá_guò_guǒ_huai	GB0	cfju
刖	月刂	XtFj	yuè	GB0	xfjt
列	歹刂	LwFj	liè_lì	GB0	lfjw
刘	文刂	KgFj	liú	GB0	kfjg
则	贝刂	FmFj	zé	GB0	ffjm
刚	冂㐅刂	KrOqFj	gāng	GB0	kofj
创	人⺋刂	JsPaFj	chuàng_chuāng	GB0	jpfj
初	衤刀	EgFj	chū	GB0	efjg
删	册刂	YvFj	shān	GB0	yfjv
判	丷刂	NwEnFj	pàn	GB0	nefj
刨	勹巳刂	JwDpFj	páo_bào	GB0	jdfj
利	禾刂	SvFj	lì	GB0	sfjv
别	口力刂	BlVnFj	bié_biè	GB0	bvfj
刭	ス工刂	BjHxFj	jǐng	GB0	bhfj
刮	舌刂	ZmFj	guā	GB0	zfjm
到	至刂	EvFj	dào	GB0	efjv
刳	大一丂刂	VuYaElFj	kū_kōu	GB0	vyef
制	牛巾刂	ZfZyFj	zhì	GB0	zzfj
刷	尸巾刂	OcZyFj	shuā_shuà	GB0	ozfj
券	丷夫刀	NwZoFj	quàn_xuàn	GB0	nzfj
刹	㐅朩刂	OqIeFj	shā_chà	GB0	oifj
刺	木冂刂	IeKrFj	cì_cī_qì	GB0	ikfj
刻	亥刂	IfFj	kè_kēi	GB0	ifjf
刽	人云刂	JsOgFj	guì	GB0	jofj
刿	山夕刂	WrPfFj	guì	GB0	wpfj
剀	山己刂	WrUdFj	kǎi	GB0	wufj
剁	几木刂	IdIeFj	duò	GB0	iifj
剂	齐刂	ApFj	jì	GB0	afjp
剃	丷𢎨刂	NwWpFj	tì	GB0	nwfj
削	⺌⺝刂	DuXtFj	xuē_xiāo_qiào_shào	GB0	dxfj
剌	束刂	FyFj	lá_là	GB0	ffjy
前	䒑⺝刂	NwXtFj	qián_jiǎn	GB0	nxfj
剐	口冂人刂	BlKrJsFj	guǎ	GB0	bkjf
剑	亼⺍一刂	JgYqYaFj	jiàn	GB0	jyyf
剔	日勹刂	RhJwWyFj	tī_tì	GB0	rjwf
剖	立口刂	OwBlFj	pōu_pǒ	GB0	obfj
剜	宀夕刂	EiPfDpFj	wān	GB0	epdf
